193	Apple,Audiotechnikhersteller,Börsennotiertes_Unternehmen,Bürogerätehersteller,Gegründet_1976,Hardwarehersteller_(Vereinigte_Staaten),Markenname,Softwarehersteller_(Vereinigte_Staaten),Unternehmen_(Cupertino),Unternehmen_im_NASDAQ-100,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-03,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-08,Wikipedia:Lesenswert,Wikipedia:Seite_mit_Grafik
340	Abkürzung,Linux-Software,Programmiersprache,Unix-Software
348	3D-Grafiksoftware,CAD-Programm,Proprietäre_Software,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-03,Wikipedia:Defekte_Weblinks/Ungeprüfte_Botmarkierungen_2018-03,Wikipedia:Weblink_offline_IABot,Windows-Software
782	Computer,Geschichte_der_Informatik,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2019-03,Wikipedia:Veraltet
819	Computerlinguistik,Digital_Humanities,Studienfach,Wikipedia:Überarbeiten
932	Commodore-Computer,Einplatinencomputer,Heimcomputer,Wikipedia:Belege_fehlen,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2019-03,Wikipedia:Gesprochener_Artikel,Wikipedia:Veraltet_nach_November_2017
941	Computer_Aided_Engineering,Wikipedia:Nur_Liste
1077	Debian,Debian-basierte_Linux-Distribution,Gegründet_1993,Linux-Distribution,Tor_hidden_service
1564	Computerkunst,Fraktale_Geometrie,Ornamentik
1735	DOS-Betriebssystemkomponente,Dateisystem,Dateiverwaltung,Linux-Betriebssystemkomponente,OS/2-Betriebssystemkomponente,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-12,Windows-Betriebssystemkomponente
2801	Historische_Software,Integrierte_Entwicklungsumgebung,Linux-Software,Pascal_(Programmiersprache)
2951	Freie_Software,Freies_Betriebssystem,Linux,Namensgeber_(Asteroid),Unixoides_Betriebssystem,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-03,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-12,Wikipedia:Exzellent
3249	Betriebssystem_von_Apple,MacOS,Mac_OS_Classic
3256	Computer_von_Apple,Mikrocomputer
3257	Betriebssystem_von_Apple,Historische_Software,Mac_OS_Classic
3555	BSD-Betriebssystem,Betriebssystem_von_Apple,GNUstep,Historische_Software,NeXT,Objective-C,Proprietäre_Software
3807	Apache-Projekt,BSD-Software,Freie_Büroanwendung,HTML-Editor,Linux-Software,MacOS-Software,OS/2-Software,Solaris-Software,Textverarbeitung,Unix-Software,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-03,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-08,Wikipedia:Defekte_Weblinks/Ungeprüfte_Botmarkierungen_2018-03,Wikipedia:Lesenswert,Wikipedia:Weblink_offline_IABot,Windows-Software
3819	Mikrocomputer
4358	Algorithmus_(Computergrafik),Bildsynthese,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-03,Wikipedia:Exzellent,Wikipedia:Gesprochener_Artikel
4501	Computergrafik,Filmtechnik
4657	Linux-Distribution,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-12
4872	Computertaste
5134	Fiktiver_Vogel,Linux,Maskottchen
5205	Programmierschnittstelle,Windows-Betriebssystemkomponente
5574	Historische_Software,Wikipedia:Belege_fehlen,Wikipedia:Defekte_Weblinks/Ungeprüfte_Archivlinks_2018-12,Windows-Betriebssystem
5575	Historische_Software,Wikipedia:Weblink_offline,Windows-Betriebssystem
